exit_layer,num_speculations,acceptance_rate,total_time,time_per_token,tokens_per_second
1,1,-1.0,0.11590160210927328,0.0023180320393294098,433.5636589558919
1,2,-1.0,0.11480681419372558,0.0022961362715189656,435.619731241862
